baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000069849	55435.9602184066	-0.438365983931507	0.278899285298097	-1.57177162882639	0.116003523477705	0.999608086202048
ENSG00000131746	209.775324777783	0.485142913909909	0.602171073477014	0.805656291506385	0.420441058300653	0.999608086202048
ENSG00000141027	64625.4716506665	-0.0199761064205894	0.139150680496095	-0.143557374993577	0.88585000173851	0.999608086202048
ENSG00000164587	859209.989371463	-0.203410135992009	0.143684374988829	-1.41567331874341	0.156871173706979	0.999608086202048
ENSG00000122417	3495.44665298974	-0.0505411062328375	0.222526945825853	-0.227123533490592	0.82032768510542	0.999608086202048
ENSG00000142235	1301.10211481426	-0.776327669195453	0.32668325008421	-2.37639263413517	0.0174828484679403	0.842825454454791
ENSG00000102904	1846.93857619633	-0.0442641184017226	0.164818171522622	-0.268563338573667	0.788265727630997	0.999608086202048
ENSG00000042062	16429.6439459345	-0.157558603617838	0.172126071743943	-0.915367451435389	0.359998759587876	0.999608086202048
ENSG00000165349	19.0887458318406	-1.22258083219207	2.86445568257107	-0.426810873573967	0.669517085929198	0.999608086202048
ENSG00000118849	14321.0137286693	0.151142634421513	0.252877484810935	0.597691148875967	0.550046032432763	0.999608086202048
ENSG00000156413	33576.0192817332	-0.325171959953179	0.232631560566457	-1.39779812834246	0.16217369658478	0.999608086202048
ENSG00000213139	2702.16623264253	-0.0954186890483218	0.231561045916429	-0.412067101660781	0.68029024103736	0.999608086202048
ENSG00000149313	47425.6559078562	0.0710059779646385	0.0804933905109538	0.882134266104443	0.377704203915709	0.999608086202048
ENSG00000165912	137234.6625212	-0.317058220550476	0.234964117568907	-1.34938995720269	0.177211744849555	0.999608086202048
ENSG00000203965	2418.46853168077	-0.200193773747329	0.176620413342192	-1.13346905920475	0.25701732743726	0.999608086202048
ENSG00000100906	678230.413464429	-0.341696089355838	0.164832540043768	-2.07298928515637	0.0381732767548825	0.964522234812215
ENSG00000188263	77.3551801873851	0.374711802536782	1.57804810370082	0.237452712409724	0.812305600206159	0.999608086202048
ENSG00000141756	26516.1311596984	-0.269059906036977	0.138981975018803	-1.9359338216382	0.0528758067548644	0.979351050746754
ENSG00000125534	646780.993257727	0.0357618734635222	0.214515958158592	0.166709618111877	0.867598537290355	0.999608086202048
ENSG00000221855	0	0	0	0	1	NA
ENSG00000152409	18305.6548973468	0.034648041070979	0.143289459588044	0.241804534475822	0.808931625160073	0.999608086202048
ENSG00000110900	2344.25025271226	-0.0132145169968321	0.229669418745852	-0.0575371203923979	0.954117337275259	0.999608086202048
ENSG00000121413	11769.3428692021	-0.47429822104225	0.176357857922491	-2.68940792675483	0.00715788900043608	0.611454146565823
ENSG00000018280	3037.16399448462	-0.424008988707514	0.217060914501015	-1.95341012766963	0.050771017123283	0.979351050746754
ENSG00000010610	326724.189706183	-0.0144502022904574	0.205787040680863	-0.0702192044875508	0.944019189082856	0.999608086202048
ENSG00000204366	4049.52421365223	-0.000376647019235153	0.155922449624066	-0.00241560480959131	0.998072628091842	0.999608086202048
ENSG00000185019	14297.7069940705	-0.0856682351043993	0.0960357475034631	-0.892045278257558	0.372368663793126	0.999608086202048
ENSG00000180801	6661.17397279846	-0.234610021927564	0.220728233197959	-1.06289086143844	0.287831447761795	0.999608086202048
ENSG00000001167	31815.6845005339	-0.113957766636234	0.0821961456292491	-1.38641253508708	0.165620970995338	0.999608086202048
ENSG00000162929	1553.69154836467	0.119984372489844	0.170637674073843	0.703152883096154	0.481960478618622	0.999608086202048
ENSG00000172969	38.8978726830927	-0.472381717641632	2.00643759842902	-0.235433047113697	0.813872638924819	0.999608086202048
ENSG00000197562	34739.6183697095	-0.036857630640118	0.100316964970295	-0.367411739888981	0.713311915869695	0.999608086202048
ENSG00000106771	67290.7999605567	0.0185787858201233	0.120557973038187	0.154106653852237	0.877525641940209	0.999608086202048
ENSG00000234776	1727.14922878876	-0.668962424734699	0.583979859751007	-1.14552310934135	0.25199252817397	0.999608086202048
ENSG00000255833	267.990830738974	-0.72014147583508	0.521817831846482	-1.38006298728201	0.167567252104577	0.999608086202048
ENSG00000169230	202858.305856863	0.059705272262639	0.116067097347237	0.514403079143257	0.606970206909508	0.999608086202048
ENSG00000162337	295142.66673551	0.1007854662119	0.13426845775223	0.75062652762336	0.452877451580841	0.999608086202048
ENSG00000163444	45441.6312305568	-0.0137678217020215	0.0692224773393107	-0.198892357384657	0.842346948008127	0.999608086202048
ENSG00000170382	1724.35518419466	0.205424717004945	0.231054431992653	0.889074990829331	0.37396277862842	0.999608086202048
ENSG00000215114	40322.2765863047	0.0502499709334899	0.113861827940008	0.441324119264673	0.658978367367009	0.999608086202048
ENSG00000159905	909.161736793062	0.160910744151717	0.310702811854103	0.517892783755287	0.604533077132999	0.999608086202048
ENSG00000136872	36737150.0129965	-0.0556810688634855	0.187267912882004	-0.297333739702485	0.766211725187938	0.999608086202048
ENSG00000113594	57714.0910360203	0.136901249872163	0.158594867825775	0.863213619387461	0.388020026916806	0.999608086202048
ENSG00000011132	19842.2265781765	-0.100308707766679	0.0934901004274357	-1.07293400379365	0.283300728045844	0.999608086202048
ENSG00000174576	146.517471218386	-0.423681419344038	1.07111978939462	-0.39554998753547	0.692437038192411	0.999608086202048
ENSG00000065618	305.588081470785	-0.107061395722414	0.624791813884272	-0.171355311230509	0.863944391463168	0.999608086202048
ENSG00000250803	33.939397830047	0.291799670493465	2.44300511587557	0.119442922406196	0.904924457509142	0.999608086202048
ENSG00000114113	566.226021044017	-0.155612789474484	1.0486936671149	-0.148387269184714	0.882037146566402	0.999608086202048
ENSG00000105063	58861.9458446863	0.0974197588880783	0.094096722947894	1.03531510807262	0.300521776461742	0.999608086202048
ENSG00000168876	14159.358710888	-0.0201343946523203	0.125587212865522	-0.160322012033822	0.872627420051616	0.999608086202048
ENSG00000271793	74.0350517993104	0.271869444480698	2.15525071602357	0.126142839187775	0.899618857516877	0.999608086202048
ENSG00000131142	2000.84244893381	0.016809439850918	0.69689993657585	0.024120306185576	0.980756646039938	0.999608086202048
ENSG00000142583	629.361740126753	0.390816151270454	0.425645909557425	0.918171988723711	0.358528831027815	0.999608086202048
ENSG00000165449	3984.51644635611	0.524446702245252	0.269415523248809	1.946609074047	0.0515816199087648	0.979351050746754
ENSG00000255804	0	0	0	0	1	NA
ENSG00000169926	28417.3595098852	-0.156494067159524	0.254307094314272	-0.615374366890959	0.538307515582709	0.999608086202048
ENSG00000176209	120364.158795848	-0.233789014369392	0.11878357343652	-1.96819313989011	0.0490458192977067	0.979351050746754
ENSG00000198804	188228261.647915	0.243811338912728	0.196700906271584	1.23950287537618	0.215159324578769	0.999608086202048
ENSG00000231389	239353.471601895	0.350099293268531	0.265549082572626	1.31839767577725	0.187370558441804	0.999608086202048
ENSG00000163633	2965.38528741065	0.00187618843734199	0.12138275337023	0.0154567958400105	0.987667752296495	0.999608086202048
ENSG00000170270	59248.0821801759	-0.118265095261146	0.0889178075272464	-1.33004961042147	0.183501926226387	0.999608086202048
ENSG00000183770	49.116896046231	-0.265448646994188	2.02578998552932	-0.131034632854515	0.895747910537958	0.999608086202048
ENSG00000166979	9292.1706929012	-0.515352287207378	0.229094950217067	-2.24951395357725	0.0244798160744681	0.914661434099236
ENSG00000162591	12572.1017248631	-0.114635490429067	0.221309062297701	-0.517988234367293	0.604466478342043	0.999608086202048
ENSG00000152147	25576.4713421483	-0.149004338817129	0.112623681895162	-1.32302848130851	0.185825906463422	0.999608086202048
ENSG00000134595	0	0	0	0	1	NA
ENSG00000157350	20782.5056981897	-0.0370944079605157	0.112107172829152	-0.330883448617925	0.740732524530907	0.999608086202048
ENSG00000124459	11347.7527214426	-0.00870720871722868	0.104279162348079	-0.0834990281966822	0.93345475008206	0.999608086202048
ENSG00000111863	2559.84229310203	-0.311422085539006	0.440907177165525	-0.70632119790169	0.479988413794032	0.999608086202048
ENSG00000185112	26074.2106097532	0.0784552274410129	0.276902528320627	0.283331567670516	0.776922680778345	0.999608086202048
ENSG00000105679	21.9072280473276	0.126270946365849	2.87607684856598	0.0439038847062825	0.964981018740756	0.999608086202048
