	PC1	PC2	PC3	Label
ENSG00000093072	-4.207516721931407	-0.3202213151475498	0.1771353505303363	Normal
ENSG00000174837	-4.725567084050847	-0.32768300052946664	0.20813197651176538	Normal
ENSG00000128284	-4.037911733969261	-0.2398101383957491	0.4194091180237108	Normal
ENSG00000111348	-1.3019789595037035	-0.5456289682943987	-0.5585734133745628	Normal
ENSG00000087586	-4.237132153475207	-0.17582520992809111	0.14383671581588572	Normal
ENSG00000166710	50.718678778473745	3.7275337701519584	7.850060543716186	Outlier
ENSG00000111801	-4.4596435390249205	-0.2743688512300613	0.323302605081259	Normal
ENSG00000118292	-4.447093927007958	-0.3136530903157259	0.19232129480782284	Normal
ENSG00000173369	7.364269369198138	-3.7649335099166157	-5.65989487938575	Outlier
ENSG00000171860	-4.378395586013075	-0.3632487557006123	0.09582443114700455	Normal
ENSG00000271503	-2.051628165869307	-1.0201196753712014	-0.6768218805437075	Normal
ENSG00000004468	-4.684736513024785	-0.3138126293195883	0.23199340796944432	Normal
ENSG00000167286	-3.994946998895173	-0.4311803474367903	0.07549754668523803	Normal
ENSG00000117091	-4.392235961982108	-0.36236830833300593	0.15139210661435598	Normal
ENSG00000143119	-3.433856848174553	-0.5070601836543817	-0.18430040818013163	Normal
ENSG00000073754	-4.336899228454056	-0.3477193846012911	0.3347287341807978	Normal
ENSG00000019582	52.215056189948065	-10.583470264014094	-15.487584571137619	Outlier
ENSG00000112149	-4.533984621432569	-0.2776856418503904	0.22284605132128588	Normal
ENSG00000172757	2.020781465549294	0.4334230600951388	0.22926532565151328	Normal
ENSG00000103187	-3.9395308798081405	-0.3767387008493373	-0.056966494698875825	Normal
ENSG00000164733	5.355515094672315	2.155982052126197	0.3218402662536444	Outlier
ENSG00000109861	-3.9445268565093348	-0.24197909030719092	0.042896481094398996	Normal
ENSG00000169245	-0.20822283458968752	-0.7069252369893104	0.05431726586565263	Normal
ENSG00000138755	-2.3255742663246397	-0.7072992540960307	-0.34610842116364116	Normal
ENSG00000121966	-3.2036526322617225	-0.36240091191800883	-0.03789815147284894	Normal
ENSG00000162777	-4.537667654801363	-0.2851014249735711	0.2432896712903022	Normal
ENSG00000136048	-4.39044948435208	-0.28281130762733897	0.21583039546068705	Normal
ENSG00000158869	-1.9447656885662448	-0.7469123662816446	-0.7829661527135772	Normal
ENSG00000150337	-4.642163983647646	-0.3471152022426597	0.16312808815319413	Normal
ENSG00000127951	-4.2565110031102655	-0.36363087742021694	0.1234067697452811	Normal
ENSG00000204681	-4.730377420383198	-0.28461485122778934	0.2512027656503294	Normal
ENSG00000117228	-3.4620666645241274	-0.48423596111596984	-0.03619349252857654	Normal
ENSG00000162645	-3.560380721377952	-0.16439971810711695	0.25845554122367626	Normal
ENSG00000196329	-4.769954619360455	-0.295617038273677	0.25419749947968323	Normal
ENSG00000196743	-3.573213658503834	-0.1094800617869471	0.3147059850056702	Normal
ENSG00000136235	-3.4859179603659403	-0.37584081518206575	-0.2787642875427369	Normal
ENSG00000145649	-3.974819029269342	-0.49995528779640824	-0.02058851217841294	Normal
ENSG00000113088	-4.40380011144924	-0.43010153213031305	0.05036184720198401	Normal
ENSG00000206503	36.4437258612362	4.3962192314070085	10.209760539199563	Outlier
ENSG00000234745	49.136271290094896	2.529275151925322	15.733629198009746	Outlier
ENSG00000204257	-1.7513379272578882	-0.6695418578154806	-0.19322592574999486	Normal
ENSG00000242574	-4.090541317052321	-0.42562648300484074	0.03862303646681753	Normal
ENSG00000231389	-2.197539873798336	-0.6281925969223514	-0.324003683159671	Normal
ENSG00000223865	2.0043557621762944	-1.635200390805385	-2.105887380242021	Normal
ENSG00000179344	-2.8139486316079845	-0.6728270992203961	-0.2366447617243037	Normal
ENSG00000204287	34.95337572945195	-9.032452181177854	-12.916498513115394	Outlier
ENSG00000196126	20.771847559538045	-5.398642350328399	-6.479358928730165	Outlier
ENSG00000204592	14.244128474106306	1.0627897587361157	4.016170655731389	Outlier
ENSG00000204642	-2.5634945566531657	-0.06845651640583404	1.1016833243794957	Normal
ENSG00000163565	-4.067799987440695	-0.35673782500653034	0.0493264889117776	Normal
ENSG00000165949	1.0231576298739065	0.7937013180973168	4.089800929277843	Normal
ENSG00000216490	-4.75277999942324	-0.2901965775404168	0.24855281761233322	Normal
ENSG00000140749	-4.498069222935587	-0.3053674933629166	0.196053499524831	Normal
